Pillar,Initiatives/Project,Customer/Business Problem Statement,MLP / Parity / Differentiation,KPIs/OKRs,"Priority 
(A, B, C)","Incept/Build in Quarter
(Q2/Q3/Q4)","Desired Launch
 Quarter
(Q2/Q3/Q4)","Inception Ready?
(Y/N)",Driving Team,Dependent Team,Overall Initaitive Sizing (Q3/Q4),Martech,Communications,UX,AdTech,CPG Media,Traffic Innovation (Project X),PZN,ShopCX- INTERNAL USE ONLY,ShopCX - UI Platform,ShopCX- Pharmacy,ShopCX- Land & Nav,ShopCX - Unified Search,ShopCX-Search&Browse,Exp & Opt (Target),Cart & Checkout,UMA,Tax,Catalog,UX.1,UCA,"
DigitalLabs",EPE,Offer Management,Offer Redemption,Payments,Omnichannel,Digital Order Management System (DOMS),MFC,Acupick,Transportation Services,Pickup Experience,VPOS,Demand Planning,Store Mobility,OSS,Subscription,Rewards,Auto Replenishment,J4U_Clipping/Instant Allocation,Partnership Rewards,"Customer Self Service (Web/Mobile)- (IVR, Chat, social media)",CS Analytics,ECHO,CRM Salesforce,Digital Trust & safety,Functional FAQs,Data Engineering,CDP,Analytics,Data Science,Retail / POS,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80
,,,,,,,,,,,,Marketing,,,,,,,,,,,,,,,,,,,,,Merchandising,,,Payments,,Fulfillment,,,,,,,,,Loyalty,,,,,Customer Service,,,,,,Data,,,,Retail,Other,,,,,,,,,,,,,,,,
Shopper Experience,"Scan + Pay // Store of the Future: Scan and pay is an app that our Just4u customers use to scan items as they shop, pay and skip the checkout line in the mobile app. Pilot is live in 11 stores, 4 of which (Norcal) are live to customers.","Scan and pay will give the ability to fully engage the customer, improve the customer experience, simplify their shopping journey, reduce contact in times of covid and pull this work into broader loyalty redesign strategy, bringing new features to our loyal members and give customers a new quick stop meal solution",Differentiation,"Customer experience score (CSAT)
Number of members registered
Number of first-time transactions from members
Repeat transactions from members (retention)
Average Scan & Pay customer journey time
App error rate
AOV and AIV 
Shrink",A,Q1-Q4, TBD: UMA Integration  Launch ,,Digital Labs,,XL,XS,XS,,,,,,,,,,,,,,X,,,XS,,,XS,,,XS,XL,,,,,,,,,,,,,,,,,,,,,,,S,,S,,,,,,,,,,,,,,,,,
Shopper Experience,Walk In Walk Out // Store of the Future: New store format offering fresh meals and grocery essentials using technology ,"I want to run to the store, grab a quick meal and possibly a few essentials but I don’t want to have to wait in line or go to a huge store. ",Differentiation,"AOV, Incremental Customers, Avg Order Value, Accuarcy, others TBD",A,Q2,Q3/Q4,N,Digital Labs,,L,XS,XS,,,,,,,,,,,,,,,,,TBD,,,,,,S,L,,,,,,,,,,,,,,,,,,,,,,,S,,S,,,,,,,,,,,,,,,,,
Shopper Experience,Location Services // Store of the Future: Piloting Product Search and Wayfinding. By understanding where the customer is in the store to serve information on items or products relevant to them in their shopping list on a moving map with pick path,"I love shopping for groceries large or small trips, but I hate that the items are located in different places, I don't know where to find a unique item or what it looks like and often leave with out it!",Differentiation,,A,Q3 or Q4,Pilot Launch - Q1/Q2. UMA Launch Q3/Q4,N,Digital Labs,,XL,XS,XS,,,,,,,,,,,,,,X,,,S,,X,,,,S,M,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Freeosk // An in-store kiosk that offers customers free samples of products that are aimed at accelerating product and category discovery, influence new behaviors/purchases, and increase JFU signups.",We know sampling drives incremental sales and we're looking for new opportunities to drive additional in-store revenue via CPG advertising. In addition with the start of the pandemic customers need a contactless sampling option.,Differentiation,"User engagement
Incremental sales
Re-usage rates
JFU registrations",C,Q2-Q3,Q2-Q3,Y,Digital Labs,,XL,M,S,,,x,,,,,,,,,,,,,,TBD,,X,,,,,,,,,,,,x,,x,,XS,,,,,,,,,,L,,M,,x,,,,,,,,,,,,,,,,,
Shopper Experience,"In-Store Mobile Congierge // Store of the Future: In-store scanning solution that will answer questions customers have while shopping; including how in season is the product, where it's sourced from, recipes, health information,  current promotions, and in store specialty ordering. ","I want a more intimate and personalized digital experience with my local store. Depending on experience I’m craving that day, I want to be able to find information or inspiration without having to talk to an associate or fumbling through multiple apps on my phone. I wish had a digital assistant to help me unlock the nuances of my store and its products.
",Differentiation,"User engagement
Incremental sales
Re-usage rates
Mobile app installs",A,TBD: Q4,TBD: Pilot Launch: Q2/3 2022,N,Digital Labs,,XL,,X,,,x,,,,,,,,,,,X,,x,x,,X,,,,x,X,,,,,,,,,x,,XS,,XS,,x,,,,,x,L,,M,,,,,,,,,,,,,,,,,,,
Shopper Experience,"eCommunity // Albertsons' e-community is a platform welcoming all food lovers to seek inspiration, ask questions, join discussions, explore all things health, participate in events, share experiences, and create connections with those that share similar interests as well as with the Albertsons' family.","Food and cooking can take on many roles in a person's life. It can bring joy, bring loved ones together, be a way to express your creativity, an escape, a challenge, a chore, or something intimidating. Whatever it may be, the journey begins in the store. That in-store experience is grounded in choice – how you choose to shop, whether it be about speed, or you enjoy browsing each aisle. It can be a social experience bonding with those behind the counters or a more introverted journey. On the other end, online is grounded in convenience but ultimately lacks the personal element and is more challenging to discover or become inspired. Albertsons' e-community is an extension of both in store and online that improves your experience and journey of choice. The platform can take on many forms: a way to generate your own content, browse others for inspiration, and create lasting connections.",Differentiation,,A,Q3,Q4- Pilot,N,Digital Labs,,XL,X,X,,x,,,,,,,,,,,,X,,L,x,,X,,,,,,,,,,,,,,,,,,,,x,,,,,x,L,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Bloom Cart by Safeway // Offer a unique/premium/on trend collection of hand-tied floral arrangements that can be delivered within 2 hours. The collection is aimed at customers who don't view ABS as a floral solutionin and result in new customer acquisition,I love having fresh flowers in my home but find myself strapped for time to make this a priority. I wish there was a stylish and reliable solution.,,,C,Q3,Q4,,Digital Labs,,M,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Food Trucks // Bring local & regional meal expansion via food trucks to our customers thoughout various business models inluding: food truck  events in our store parking lots, and connecting DuG and Delivery customers to food trucks near them. ","“I love to order from FOOD LOT while placing my grocery order on Albertsons App,” says Albertsons customer Christie Fullbelly.  “I schedule my pick-up time just prior to dinner so that I have a hot, ready to eat meal delivered to my car with my groceries, ready to be brought home to my family of hungry eaters! Each week we look forward to trying something new and exciting from FOOD LOT as well as ordering from our new favorites.  Some weekends, I’ll order dinner from FOOD LOT and wine from the grocery store, a full meal!”",Differentiation,"AOV, Engagement, Incremental Customers, Repeat Customers",C,"Phase 1: Q2, Phase 2: Q3","Phase 1: Q2, 
Phase 2: Q4",N,Digital Labs,,S- Phase 1 (Q2),S,S,,X,,X,,X,XS,,L,,,S,X,S,,,X,,X,X,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Healthy Shopping Assistant // Healthy shopping assistant pilot will	validate that ACI shoppers want to setup health/dietary/ingredient avoidance user profile and leverage those TAGs in their shopping experience online. Specifically on product detail pages and search.,"I am a busy, health focused customer looking for ways to shop for foods that help to manage or improve X condition in my life, but I don't want to spend additional time researching foods and my conditions. Please help make healthy shopping easy!",Differentiation,"Clickthrough Shopper Assistant Banner
Completing Selection of Healthy Tags (fall off rate for each step)
Visit Healthy Product Results Page
Visit A Healthy Product Detail Page
Healthy Item(s) Added to Cart
Comparison of conversion rate of adding items to your cart directly from existing search vs. healthy shopper product results page
Comparison of conversion rate from adding items to cart from the product detail page vs. healthy shopper version",B,Q2,Q2-Q3,Y,Digital Labs,,L,xs,xs,,,,,,X,S,,L,,M,,,X,,S,S,x,Xs,,,,,,,,,,,,,,,,,,,,,,,,,,L,,S,L,,,,,,,,,,,,,,,,,,
Shopper Experience,"Project Menu // New & Improved Digital Features on UMA and web:

Recipe Search - Browse recipes & meals using search and filter tools (calories per serving, $ cost per serving, total cook time)","Understanding life is not predictable, Albertsons Digital Meal Solutions mission aims to remove the stress of meal planning for the week by providing our shoppers the tools needed to find last-minute meal solutions (recipes & prepared meals), easily create and organize weekly meal plans, create shopping lists and discover new recipes that inspire them and fit their dietary lifestyles and tastes. Our goal is to become everything food for our customers. 

Cooking 4-5 nights per week, our customers are looking for a variety of tasty, healthy, and budget-friendly meals and recipes to add to their rotation of family favorites.  But it needs to be easy, and customers prefer not to go to the grocery store more than once or twice a week.  They are tired of cooking the same meals each week and are looking to be inspired with new, easy-to-cook recipes to add to their weekly plan. Some nights they do not want to cook at all and are looking for quick, delicious, ready-to-heat and ready-to-eat options. 

We will remove the stress of meal planning for the week by providing our shoppers the tools needed to find last-minute meal solutions (recipes & prepared meals), easily create and organize weekly meal plans, create shopping lists and discover new recipes that inspire them and fit their dietary lifestyles and taste preferences.",Differentiation,"Engagement, AOV, Increase in Cart Size, Repeat Customers",A,Q2,Q3,,Digital Labs,,XL,s,s,,,,,X,,L,,,,,,x,M,,L,L,X,L,,,,,,,,,,,,,,,XS,XS,,,x,XS,,,,,x,L,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"3PL Tax/Payment API // This service will be initially piloted with Uber to enable automated tax exemption at the register, and give them an option to pay using a QR code. This solution will be rolled out nationally with Uber and Doordash.","When Doordash, Uber and Instacart shoppers reach the register, there is a manual step process required to mark the transaction as tax exempt. Since this is a manual process, it is often overlooked or pushed back on by the cashier. In addition we are charged credit card processing fees for all the transactions that they ring up. We need an easy scanable solution to providing automated tax exemption for the transaction & a quick payment method with zero processing fees.",MLP,"Reduced tax reconciliation, Reduced transaction fees for CC",A,Q2,Q2,Y,Digital Labs,,M,,,,,,,,,,,,,,,,,,,,,x,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,
Shopper Experience,"Digital Screens // Use digital screens across the store to be able to: reduce the cost of print media, drive additional product sales through increased awareness of promotions and inspirational meal ideas.","TBD - still working on strategy / how we will use (ie Décor, Advertising, etc) ",TBD,"Incremental Sales, NPS, CSAT",B,Q4,Q4,N,Digital Labs,,,XS,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Store of the Future // Store of the Future a cross functional project that includes various digital products (outlined seperately) and will include new store / shopping concepts/ The vision is to drive disruptive innovation focused to driving great customers experiences. We have outlined seperately all the projects that will impact Q2 and will refresh once we know more about future pilots.,"Addresses various customer problems as this is a large crossfunctional program with many sub projects focused on different customer needs / problems.
",MLP/Parity/Differentiator,Various,A,Q3 or Q4,Q4,N,Digital Labs,,XL,X,X,,,,,,,,,,,,,,,,,,,X,,,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Wine Club // Quickly launch Wine Club on Shopify platform, featuring Safeway Store 1257's (Livermore) large catalog assortment.  This will be a test & learn project with the goal to add inventory from other stores throughout the state.  
Build concept around the personal touch and personalities of our beverage stewards. Beverage stewards will help curate collections and mixed cases, choose and promote their favorites, and offer recommendations via live-chat on the site. 
Create SOPs for catalog management, merchandising, and fulfillment.","I love my local Safeway’s wine team. Whenever I need a recommendation on a wine or beer to pair with a new recipe or restaurant take-out, or even just an introduction to something new, my local Safeway beverage team has me covered.  At times I feel I’ve exhausted the inventory featured at my local store and wish I had access to more variety to discover.  ",,"Engagement, Repeat Customers",C,Q4,Q4,N,Digital Labs,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Transactions/Redesign Date/Time Selection (Pre-book, Checkout/Edit) // Redesign of Checkout/Edit:
Redesign Date/Time Selection (Pre-book, Checkout/Edit)",Provide customers with more convenient and efficient date/time selection options for delivery/pickup ,Parity,a)Reduce time to checkout. b)Reduce drop rate on date/time by 2-3%,A,Q2,Q2,Y,C&C,,,xs,xs,,,,,,X,,,S,,XS,,M,XS,,,M,,,,,,,,S,,,,,,S,,X,,,,,,X,,S,,,XS,S,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Transactions/One-Click checkout // One-Click Checkout with Stored CC ,Around 8% of customer drops at promo & payment selection . One-Click checkout with stored  payment information will fasten up the checkout process for customers.,Parity,b) Reduce drop rate on date/time selection by 2-3%,A,Q3,Q3,N,C&C,,L,,,,,,,,,,,,,,,M,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Transactions/Optimize order edit // Optimize order edit (i.e. Multiple day window vs. same day for future order),We do not support order edit for multiple days window curomer can only edit the order on the day order is placed. By extending order edit by multiple days window customers will have more flexibility to add item to the cart or reschedule orders ,Parity,"*Increase incremental revenue by $10M/year 
*Increase AOV by $2",B,Q3,Q3,N,C&C,,L,X,X,,,,,,,,,S,,,,S,X,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Transactions/Gift Capability // Send delivery order as gift capability,Customer today can not add personal note to order that is sent as gift to friend or family ,Parity,"Increase customer sales, satisfaction  & LTV",C,Q4,Q4,N,C&C,,M,X,X,,,,,,,,,,,,,X,,,,,X,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Transactions/ Singular Cart Experience // Redesign Singular Cart, which will ultimately support multi-cart and marketplace.Driven by Cart and Checkout we are looking for best in class singular cart (moving away from 2 carts mini and full to just 1 cart) experience whilst supporting future initiatives like muticart (MTO and grocery items) and Marketplace (items that can be shipped from 3rd party vendors) so we effectively communicate customers how their order will be divided. Also, build on singular cart recommendation in cart using shopping history, delas etc","Less than 1% of customers interact with Full cart and directly go to checkout from Mini cart, the effort of dev and maintainence needed is not justified and the real estate on Mini cart is not enough to support many upcoming initiatives especially around multi- cart. to support and streamline we would like to approach singular cart experience",Parity ,"AOV Increase, reduce dev cost ",A,Q2,Q2,N,C&C,,,XS,XS,,,,,,,,,,,M,S,L,S,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,
Shopper Experience,Transactions/ Grocery and Pharmacy integration  // Ecom Order with RX Integration,More than 80% of our customers are not aware of our pharmacy services.,Parity ,Increase Pharmacy awareness and script acquisition (MLP),A,Q2,Q2,Y,"C&C/
Pharmacy",,,XS,XS,,,,,,,,XL,,,,S,L,S,,,L,x,,,,,,,S,,X,,X,,,,S,,,,,,,,S,,,S,L,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // Feedback. Customer feedback survey in email,"As a customer, I want to give my opinion on delivered orders so that I have a better experience next time. As a company, we want feedback from customer so we may improve the orders/substitutions experience",Parity,,A,Q1,Q1,Y,C&C,,,XS,XS,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // Feedback. Change to apptentive survey on app,"As a customer, I want to give my opinion on delivered orders so that I have a better experience next time. As a company, we want feedback from customer so we may improve the orders/substitutions experience",Parity,,A,Q1,Q1,Y,C&C,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Substitutions // Tracking FaR accuracy to capture the event and pass to EDM, ECHO",As a customer... (customer benefit),Parity,"In 2021, Reduce customer support refunds and complaints  by 50%. 
Decrease OOS cancellations by 25%. 
Decrease substitutes when customer said DoNotSub by 50%.",A,Q2,Q2,Y,C&C,, ,,,,,,,,,,,,,xs,,,S,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Substitutions // Customer can choose qty of substitutes on Web (parity with UMA),"As a customer, I want my past preferences be taken into account so that my substitutions are relevant. As a company, the more customer feedback and analytics data we can ingest, the more relevant the substitutions.  ",Parity,"In 2021, Reduce customer support refunds and complaints  by 50%. 
Decrease OOS cancellations by 25%. 
Decrease substitutes when customer said DoNotSub by 50%.",A,Q2,Q2,Y,C&C,,,,,,,,,,X,,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,L,,,,,,,,,,,,,,,,,,
